tid,name,description
1,"Budswell","Budswell begins sometime around Brigid's Day, also called Imbolc or Candlemas, with the Chinese Lunar New Year is sometime near. Day length grows rapidly, buds swell, and bulbs push through duff. Budswell ends, and springtime begins with the Spring Equinox, celebrated around the world since time before memory, now remembered as Nawruz, Higan, Easter or Passover"
2,"Springtime","Springtime begins on the Vernal Equinox in late March. The balance of light and dark has been celebrated around the world since time before memory, and is now remembered as Nawruz, Higan, Easter or Passover. Days lengthen and shoots and flowers spill from swelling buds. By Mayday, the green cloak is renewed. During Springtime, the soil temperature warms triggering germination and growth. Cyclonic storms may still come, and frost on clear nights. Those who think about water in a changing climate are measuring snow pack and hoping for spring rains and strong growth before the droughts."
3,"Bloom","Bloom begins on Mayday, the apex of growth, when there is both warmth and moisture. The risk of frost is past. The abundance of nature is an official holiday in 66 nations. Called Floralia, Maiouma, Walpurgis Night, Beltane, Calan Mai, Vappen, Kevadpüha, Calendimaggio, Irminden, Prvomajski uranak; the list goes on. The risk of frost is past. Even as shrubs with overwintering flower buds finish their bloom, buds formed on spring shoots start to ripen. Winter storms give way to fickle showers, occasional downpours, and parades of big puffy clouds. Bloom brings the first rumors of the dry season, as the gap between wetting rain increases."
4,"The Drying","The Drying begins with the summer solstice, the longest day of the year, whether midsummer, St. Johns Day, Ukon juhla, Lithia, Kupala, Tiregān, Klidonas, or Päiväkäändjäne. Whether celebrating 'yin' forces, collecting water from the sea, eating pickled herring, or drinking lots of vodka, it is a global holiday, often including a bonfire. The wetting rains are mostly finished. The green world senses this edge, and switches from growth to insuring the survival of the purpose of growth shifts from expanding foliage to making seed. The first fruits become ripe, and we begin to tap into our stores of water to support our agricultural projects."
5,"Harvest","The beginning of Harvest Season is marked by old European festivals celebrating the first grain harvest, Freyfaxi (Norse), Lammas (Celtic and Pagan), Lammastide (from Shakespeare), Lughnasadh (Gaelic), and the Feast of First Fruits all fall at the beginning of August. It is likely that every temperate climate culture has its equivalent. In this season the grain-tax was levied among feudal serfs-the beginning of civilization as we know it. The Harvest Season ends with the Autumn Equinox. This is the driest and hottest season of the Eight Season Year. Any confusion about the onset of drought has passed. Rain is occasional and rarely wets the ground. Weeks of hot weather become relentless. But it won't last. As harvest wears on little signs suggest the coming cool rains."
6,"Leaf Fall","The beginning of Leaf Fall is marked by the Autumn Equinox, Neo-pagans call it Maban, Persian Mehregan, and nearby is the Chinese lunar mid-autumn festival. Nights will be longer than days for six months. Leaf Fall gives way to Frost half way to the Winter Solstice, around the traditional festivals of Halloween. This is the end of the growing season of the Eight Season Year. The rains return in earnest, and the ground is thoroughly wetted again, and the cyclonic storms begin their rhythmic tumble off the Pacific. Towards the end of leaf fall, the big-leaf maples drop their floppy load of wet leaves, putting the forest to bed for winter."
7,"Frost","The beginning of Frost are the last harvest festivals of Samhain, Halloween. The days are short. Frost becomes Darkness after Yule and shortest day of the Winter Solstice. Midwinter is celebrated throughout the temperate lands: Alban Arthan, Brumalia, Dongzhi, Korochun, Sanghamitta, Shalako, Yaldā, Yule, Ziemassvētki. Vast cyclones on wet ground bring floods. And then the clear days bring hard frost. Some years the rain won't stop for weeks on end. This is a holiday season, when families and friends gather in warm houses, and those without houses face misery in our rainforest climate."
8,"The Darkness","Darkness begins with the longest night of the year, celebrated as Yule, St. Lucia, Shab-e Yalda, Shalako, Toji, or Dongzhi, not to mention the adoption of the season by early Christians. Someone built Stonehenge to mark sunset on this beginning of the longest night. The Darkness ends with the first signs of life. All summer warmth has left the ground, and clear days freeze the earth. The cyclonic storm cycles continue to roll in. Snow covers the foothills and mountains. As day-length increases life waits."
